Qid,Question,Cognitive Category,Knowledge Category,Knowledge Units
636,Draw a DFD for Hotel Management System. ,Create,Procedural,Software Design
637, What are the shortcomings of CMM ? Compare ISO 9000 certification and SEI CMM.,Understand,Factual,Software Reliability
638,Write short notes on the following : (i)     TQM (ii) Boundary value analysis (iii) Alpha and Beta testing.,Understand,Conceptual,
639,Tracking the correspondence between the design  component and the SRS is known as :  a) Availability        b) Traceability   c)  Maintainability    d) Reliability.,Remember,Factual,
,"When the two bubbles are interconnected directly, it is referred as  a) Serial DFD          b) Direct DFD  c) Synchronous         d) Balanced DFD.",,,
,   DFD balancing means :  a) Balancing of weight of processes e b) Must match the total number of bubbles c) Must match the data flow at the next level of DFD  d) none of these.,,,
,System Testing performed by a friendly set of cAsto ers is called : a) Alpha Testing        b) Beta Testing c) Performance Testing d) Usability Testing. ,,,
,Function Point describes  a) The SRS document b) The test plans c) The functional decomposition  d) The size of a software product directly from its  specification.,,,
,The potential risks are best detected by a) Spiral Model         b) Waterfall Model c) Incremental Model    d) Prototyping Model.,,,
,The most desirable form of cohesion is  a) sequential cohesion b) procedural cohesion c) coincidental cohesion d) functional cohesion.,,,
,Software testing is the 10 a) process of demonstrating t t errors are not  present  b) process of establishing confidence that a program  does what it is supposed to do■  c) process of executing a program to show that it is  working as per specifications d) process of executing a program with the intent of  finding errors.,,,
,The best type of coupling is a) Coincidental   b)Logical  c) Informational    d) Functional.,,,
, Big Bank Integration testing is useful for projects with   a) smaller number of modules  b) large number of modules   c) average number of modules   d) None of these.,,,
640,Explain Data-Dictionary.,Understand,Factual,software design
641, b) What is integration testing ? Explain with suitable example.,Understand,Conceptual,Software Verification and Validation
642,c) What is layered architecture ? ,Remember,Conceptual,software design
643,a) What are the various classifications of failures ? Briefly   explain it.,Understand,Factual,Software Reliability
644,b) Briefly explain the basic issues of Software Reuse.,Understand,Factual,Software Evolution
645, c) Define Software Quality. ,Remember,Factual,Software Reliability
646,Draw the CFG of the following code segment and find ,Apply,Procedural,Software Verification and Validation
,McCabe Cyclomatic complexity by applying all the methods. ,,,
," test(int b,int c,int x)",,,
,b. = c + 5;,,,
,While(x =1) {,,,
,  x=x-1;,,,
,if (x = 7)x: = 8;,,,
," else test (x, 3, x - 1) ;",,,
,  },,,
, },,,
647,What are cohesion and coupling ? Discuss different kinds of cohesion.,Evaluate,Conceptual,Software Design
648," a) If a module has logical cohesion, what kind of coupling  is this module likely to have with other modules ? Justify your answer.",Evaluate,Conceptual,Software Design
649, b) Why is SRS document known as black box specification  of a system ?     ,Analyze,Conceptual,Requirements Engineering
650,a) Define with examples the different categories of software  development projects according to the COCOMO  estimation model.,Understand,Conceptual,Software Project Management
651, b) The size of an organic type software system to be   developed by SCV Consultancy Services has been estimated to be 200 KLOC. Determine the effort   required to develop the software system.,Apply,Procedural,Software Project Management
652,a) Explain Meta Model.      ,Understand,Conceptual,Software Processes
653, b) A Library Membership Software (LMS) should support the following three options : (i) New member   (ii) Renewal (iii) Cancel membership.  Draw Decision Tree and also implement Decision Table  for the system.   ,Create,Procedural,Requirements Engineering
654," c) Explain unit testing, system testing and accept nce   testing.",Understand,Conceptual,Software Verification and Validation
655, d) What is coding standard ? What are the contents of coding header ?     ,Remember,Factual,Software Construction
656,a) Explain different types of 'performance testing'.  ,Understand,Conceptual,Software Verification and Validation
657, b) Explain 'equivalence class partitioning' with an example. ,Understand,Conceptual,Software Verification and Validation
658,c) Differentiate between 'code walkthrough' and 'code  inspection'.,Understand,Conceptual,Software Verification and Validation
659,Calculate the software product's maintenance cost.,Apply,Procedural,Software Project Management
660,a) Who are the different categories of users of the SRS document ? What are their expectations from the SRS document ?,Remember,Factual,Requirements Engineering
661, What are the advantages of SRS document ? What are  'test data' and 'test vector ?  ,Remember,Factual,Requirements Engineering
662,c) What are the different types of team structure followed  in software projects ? Discuss them briefly.,Understand,Conceptual,Software Project Management
663,"a) What are the differences between fault, failure and  error ?        ",Understand,Factual,Software Verification and Validation
664, b) Write a C function to find the maximum of three integer numbers. Now draw the control flow graph for that  C function. Also find its cyclomatic complexity using possible methods.      ,Create,Procedural,Software Verification and Validation
665,Write down two differences between a structure chart and a flow chart.    ,Understand,Procedural,Software Verification and Validation
666, d) Distinguish between high-level and detailed designs.  What documents should be produced on completion of  high-level and detailed designs respectively ?,Understand,Procedural,Software Design
667,a) Draw the context diagram and Level 1 DFD for the  following Mail Order Processing System.  ,Create,Procedural,Software Design
668," b) Explain when you use the PERT charts and when to use  Gnatt charts, if you were to perform the duties of a  project manager.   ",Understand,Procedural,Software Project Management
669, c) How are the concepts of Cohesion and Coupling useful   in arriving at good software design ?  ,Understand,Conceptual,Software Design
670,Who proposed the Spiral Model ? a) Boehm    b) Winston Royce c) Rumbaugh  d) Booch.,Remember,Factual,
,Cardinality in an ER Diagram refers to a) number of attributes in an entity b) the order of co-related entities c) the number of sub-entities d) degree of a relationship.,,,
,"If data from one module is used to direct the o der of  execution in another, then the coupling is known as  a) Stamp Coupling      b) Data Coupling c) Control Coupling    d) Content Coupling.",,,
,"To achieve a good design, modules should have a) Weak cohesion Low coupling b) Weak cohesion High coupling c) Strong cohesion Low coupling  d) Strong cohesion High coupling.",,,
,Alpha-testing is done by a) the development team r A b) a friendly set of customers c) the customer himself  d) none of these.,,,
, Equivalence class partitioning is followed in the   a) white-box testing   b) black-box testing   c) verification        d) none of these.,,,
, Functionality of software is tested by a) white-box testing  b) glass-box testing c) black-box testing  d) none of these.,,,
,Which model is generally used for developing GUI of a  system ?  a) Spiral ■1%)No/  b) Prototyping c) Iterative waterfall) d) Evolutionary.  ,,,
, Normalization is used for reducing a) atomicity  b)redundancy  c)    both (a) 85 (b)         d) none of these.,,,
,Data hiding can be achieved by a) Data Encapsulation  b) Data Overloading  c) Data Abstraction  d) Polymorphism.,,,
671,What are 'baselines' with respect to software configuration management ? ,Remember,Conceptual,Tools and Environments
672, What is the necessity of software configuration management in developing a software ? ,Remember,Conceptual,Tools and Environments
673,a) What are stress testing and volume testing ?,Remember,Procedural,Software Verification and Validation
674,b) Why is testing important ?,Remember,Procedural,Software Verification and Validation
675, What are CASE tools ? How are they helpful in software development life cycle ?,Understand,Procedural,Tools and Environments
676, Distinguish between softwary verification and software  validation. When during the software life cycle verification  and validation performed ? ,Understand,Conceptual,Software Verification and Validation
677,Which life cycle model would you follow for developing  software for each of the following applications ? Justify your selection of model with the help of an appropriate reason. a) A Game  b) A Text editor,Analyze,Procedural,Software Processes
678,a) Design a : White Box' Test suite for the following code : ,Create,Procedural,Software Verification and Validation
679, What do you understand by software reliability ?,Understand,Conceptual,Software Reliability
680," Define the following terms : MTTF, MTTBR, ROCOF.  ",Remember,Factual,Software Reliability
681,a) Explain when and why you will use PERT charts and when and why will you use Gantt charts while you are   project manager.,Analyze,Procedural,Software Project Management
682," b) Consider a software project with 5 activities T1 to T5.   Duration of 5 activities in weeks are 3, 2, 3, 5, 2  respectively. T2 and T4 can start when T1 is complete.  T3 can start when T2 is complete. T5 can start when  both T3 and T4 are complete.  Draw activity network for the project. When is the latest  start date of the activity T3 ? What is the float of the activity T4 ? Which activities are on the critical path ?  Draw the Gantt chart also",Create,Procedural,Software Project Management
683,It is estimated that there will be 70 errors in a software. During testing 25 errors have been experienced.  Calculate failure intensity with a given value of ɸ = 0.03 using Jelinski-Moranda model. What will be the failure intensity after experiencing 50 errors ? What are  cosmetic and transient errors ?,Apply,Procedural,Software Project Management
684,Why is risk analysis important ?  What is the difference between a 'Known' risk and 'Predictable' risk ?        ,Understand,Conceptual,Software Project Management
685, Distinguish between a Data Flow Diagram and a flow  chart.     ,Understand,Procedural,Software Design
686,What is SRS ? Briefly explain the characteristics of a  good SRS.        ,Remember,Factual,Requirements Engineering
687, What is meant by stub ? What is a driver ? In which  testing are they required ? Explain briefly.,Understand,Factual,Software Verification and Validation
688,Write short notes on any three of the following :  a) Feasibility study b) Waterfall Model  c) Quality Assurance d) Decision tree and Decision table e) Black Box testing.,Understand,Conceptual,
689,a) What is the economical feasibility of a'system?,Remember,Factual,Requirements Engineering
690,b) What is the differenceb etweenI nspectionsa nd Walkthroughs?,Understand,Factual,Software Verification and Validation
691,c) What is Black box Testing strategies?,Remember,Procedural,Software Verification and Validation
692,d) What is a decision tree?,Remember,Procedural,Requirements Engineering
693,e) What is Process based estimation?,Remember,Procedural,Software Project Management
694,f) Is unit testingp ossibieo r evend esirablein ail circumstances?,Analyze,Procedural,Software Verification and Validation
695,g) What is cyclomatic complexity?,Remember,Factual,Software Verification and Validation
696,h) Explain briefly whetherS /W is developedo r engineered,Understand,Factual,Software Processes
697,l) What is Software Maintenance?,Remember,Conceptual,Software Reliability
698,j) What is the major duty of a system'analyst?,Remember,Factual,Software Project Management
699,What aret he quality  attributes that every software should possess? Explain them  clearly. List various objectives of software engineering.,Understand,Factual,Software Project Management
700,Explain the waterfall life cycle model.,Understand,Conceptual,Software Processes
701,What are test reports? Explain the various testing techniques.,Understand,Procedural,Software Verification and Validation
702,What are the projectn management tools used? List them and explain. Explain the side effects that are caused due to software maintennance,Understand,Factual,Software Project Management
703,Who should perform the validation test: S/W developer or S/W user ? Justify your answer.,Evaluate,Factual,Software Verification and Validation
704,Softwarer equiretnenat nalysisis the most communicationin tensives tepi n softwaree ngineeringp rocessD. Iscuss,Understand,Factual,Requirements Engineering
705,"Suppose you want to develop software for a Visitors Registration System For the above mentioned system, develop a Systems Requirembnt Specifications.",Create,Procedural,Requirements Engineering
706,What is a user interface. Elaborate the rules for designing the user  interface.,Understand,Conceptual,Software Design
707,What is validation?,Remember,Factual,Software Verification and Validation
708,Whati s embeddesdo ftware?,Remember,Factual,Software Processes
709,Whati s meantb y softwarem aintenance?,Remember,Factual,Software Reliability
710,What is beta testing?,Remember,Factual,Software Verification and Validation
711,Whati s ther ole of creatinga testd ata,Remember,Factual,Software Verification and Validation
712,Whata rel imitationso f Lineso f Code?,Remember,Factual,Software Project Management
713,What is coupling?,Remember,Conceptual,Software Design
714,What is 4GL environment?,Remember,Conceptual,Tools and Environments
715,Whats oftwarefa ils?,Remember,Factual,Software Reliability
716,Whata red isadvantageosf usingl ibraryr outines?,Remember,Factual,Software Reliability
717,Q2) What are software components?,Remember,Factual,Software Design
718,Why is prorotypen ecessary?H ow tloesh is approachs avest he cost and effort?,Understand,Factual,Software Project Management
719,Why the characteristicosf requirementps lay significantr ole in selectinga model?,Remember,Factual,Software Project Management
720,Describet he proceduresto calculatec ost-benefita nalysis.,Understand,Procedural,Software Project Management
721,What is meant by feasibility analysis?,Remember,Procedural,Requirements Engineering
722,What is the difference between decision table and decision tree?,Understand,Procedural,Requirements Engineering
723,"What is difference among formal, semiformal and informal methods of software development",Understand,Procedural,Software Construction
724,Explain various types of COCOMO modes. Explain about the phase wised istributiono f efforts.,Understand,Procedural,Software Project Management
725,What types of errors are likely to be discovered through inspection,Remember,Factual,Software Verification and Validation
726,What is softwareq uality andq uality attributes?W hat ares oftwareq uality standards?,Remember,Factual,Software Reliability
727,What is the needf or softwarem aintenance?H ow aret hesem aintained for client seryera rchitecturee nvironment?,Remember,Conceptual,Software Reliability
728,Explain data design.,Understand,Conceptual,Software Design
729,Explains oftwarec haracteristics.,Understand,Factual,Software Processes
730,Whati s cyclomaticc omplexity?,Remember,Procedural,Software Processes
731,Whata ret he advantageasn dd isadvantageosf CASEt ools,Remember,Procedural,Tools and Environments
732,Definet op downa pproachto softwared esign,Remember,Procedural,Software Design
733,Whati s the differenceb etweenfl owcharta nds tructurec hart?,Understand,Procedural,Software Design
734,What do you mean by metrics?,Remember,Factual,Software Project Management
735,What is a ER-diagram?,Remember,Procedural,Requirements Engineering
736,What is Rayleigh curve used for?,Remember,Factual,Software Project Management
737,Whatd o youm eanb y SEl-CapabilitMy aturityM odel?,Understand,Conceptual,Software Reliability
738,Whicha ret het echniquews ithw hichc oste stimateosf a projectm ayb em ade? Explaint heC OCOMOm odel.,Understand,Procedural,Software Project Management
739,Whatis meanbt y SoftwareC onfiguratioMn anagement,Remember,Conceptual,Tools and Environments
740,Whata ret hed ifferent oolsu sedf or structuredsy stema nalysis& design.,Understand,Conceptual,Software Design
741,Narnet hev ariousli fe cycler nodelsE. xplaint he spiralr nodeli n detail.,Understand,Conceptual,Software Processes
742,How is schedulingo f a project dones o that it is developedi n minimumt ime?,Understand,Procedural,Software Project Management
743,What is the difference between structural programming and data oriented designE. xplain.,Understand,Procedural,Software Design
744,Give a detailed accouni on the debugging techniques on their classification and the methodsi nvolved.,Understand,Procedural,Software Verification and Validation
745,ExplainC odings tylea ndC odinge fficiencyL. ist ande xplaint he characteristics of a programmingla nguage.,Understand,Procedural,Software Construction
746,"Out of the following life cycle models which one can be considered as the most general model, and the others as specialization of it? a. Classical Waterfall Model    b. Iterative Waterfall Model c. Prototyping Model    d. Spiral Model",Remember,Factual,
,The interface of a software product which is supporting a large number of commands can be developed using________. a. mode-based interface   b.  either mode-based interface or modeless interface c. modeless interface    d. neither mode-based interface nor modeless interface,,,
,Domain analysis identifies which of the following? a. objects      b. operations  c. relationships among objects   d. all of the above,,,
,The most abstract artifact associated with software development that can be reused is___.  a. requirements specification     b. design  c. code       d. knowledge e. test cases,,,
,The primary objective(s) in using any CASE tool is(are):________. a. to increase productivity of software development  b. to decrease software development as well as software maintenance cost c. help to produce better quality software d. all of the above ,,,
,The basic premise of modern quality assurance is___________. a. continuous process improvement b. thorough product testing  c. if an organization’s processes are good and are followed rigorously then the products are bound to be of good quality  d. collection of process metrics,,,
,Job specialization is one of the main advantages in case of which organization structure?  a. project format     b. function format  c. either project format or function format  d. both of project format and function format,,,
,"A project estimation technique based on making an educated guess of the project parameters (such as project size, effort required to develop the software, project duration, cost etc.) is_________.  a. analytical estimation technique   b. heuristic estimation technique c. empirical estimation technique   d. none of the above",,,
,"When a system interfaces with other types of systems then that time the testing be required is_________. a. volume testing     b. configuration testing c. compatibility testing    d. maintenance testing
",,,
,The bubbles in a level 1 DFD represent  a. exactly one high-level functional requirement described in SRS document  b. more than one high-level functional requirement  c. part of a high-level functional requirement  d. any of the above depending on the problem  ,,,
747,a. State at least three differences between the exploratory style and modern styles of software development,Understand,Conceptual,Software Processes
748,b. What is the need for a software life cycle model? Explain.,Understand,Conceptual,Software Processes
749,"What is axiomatic specification of system? What are the sequence of steps that can be followed to systematically develop the axiomatic specifications of a function. Give the axiomatic specification of following functions. i. Specify the pre- and post-conditions of a function that takes a real number as argument and returns half the input value if the input is less than or equal to 100, or else returns double the value ii. Axiomatically specify a function named search which takes an integer array and an integer key value as its arguments and returns the index in the array where the key value is present.",Apply,Procedural,Requirements Engineering
750,a. Explain at least three reasons in favor of why functional independence is the key factor for a good software design.,Understand,Conceptual,Software Design
751,b. Explain the aim of the structured analysis activity. Which documents are produced at the end of structured analysis activity?,Understand,Factual,Software Design
752,"a. Differentiate among basic COCOMO model, intermediate COCOMO model and complete COCOMO model.",Understand,Conceptual,Software Project Management
753,b. In what units can you measure the productivity of a software development team? List three important factors that affect the productivity of a software development team.,Remember,Factual,Software Project Management
754,"a. Draw the control flow graph for the following function named find maximum. From the control flow graph, determines its Cyclomatic complexity. What is the difference between path and linearly independent path in terms of control flow graph (CFG) of a problem?",Create,Procedural,Software Verification and Validation
755, List the major responsibilities of a software project manager. What should be the necessary skills of a software project manager in order to perform the task of software project management?,Remember,Procedural,Software Project Management
756,Define six metrics to measure software reliability. Do you consider these metrics entirely satisfactory to provide measure of the reliability of a system? Justify your answer.,Evaluate,Procedural,Software Reliability
757,What is the difference between user guidance and on-line help system in the user interface of a software system?,Understand,Factual,Software Design
758,"1.    Out of the following life cycle models which one can be considered as the most general model, and the others as specialization of it? a) Classical Waterfall Model  b) Iterative Waterfall Model c) Prototyping Model d) Spiral Model",Remember,Factual,
,1.    Which of the following view captured by UML diagrams can be considered as black box model of a system? a) structural view b) behavioural view c) user’s view  d) implementation view,,,
,"1.    Among development phases of software life cycle, which phase typically consumes the maximum effort? a) Requirements analysis and specification b) Design c) Coding d) Testing ",,,
,The design pattern solutions are typically described in terms of  a) class diagrams b) object diagrams c) interaction diagrams d) both class and interaction diagrams ,,,
,The context diagram of a DFD is also known as a) level 0 DFD  b) level 1 DFD c) level 2 DFD d) none of these,,,
759,1.    Spiral life cycle model is not suitable for products that are vulnerable to large number of risks.,Remember,Factual,
,2.    The upper rows of the decision table specify the corresponding actions to be taken when an evaluation test is satisfied.,,,
,3.    Applications developed using 4 GLs would normally be more efficient and run faster compared to applications developed using 3 GL.,,,
,4.    A DFD model of a system represents the functions performed by the system and the data flow taking place among these functions.,,,
,The aggregation relationship cannot be reflexive and symmetric but is transitive.,,,
760,a.       Discuss the two important techniques that software engineering uses to tackle the problem of exponential growth of problem complexity with its size.,Understand,Procedural,Software Processes
761,b.      Explain the various phases of a classical waterfall model.,Understand,Procedural,Software Processes
762,c.       Identify the use of algebraic specifications in the context of requirements specification.,Analyze,Conceptual,Requirements Engineering
763,a.       Discuss the shortcomings of the DFD model.,Understand,Procedural,Software Design
764,b.      Explain why is it necessary to create a model in the context of good software development.,Understand,Conceptual,Software Design
765,c.       Explain the purpose of different types of objects identified during domain analysis. Explain how these objects interact among each other.,Analyze,Procedural,Software Design
766,a.       Write down some popular design patterns and their necessities. ,Remember,Factual,Software Design
767,b.      Explain the Menu-based interfaces,Understand,Conceptual,Software Design
768,c.       How does the human cognition capabilities and limitations influence human-computer user interface designing?,Evaluate,Conceptual,Software Design
769,a.       Discuss the various coding standards and coding guidelines ,Understand,Factual,Software Construction
770,b.      Explain Black Box Testing.,Understand,Conceptual,Software Verification and Validation
771,c.       What is meant by a task model? Explain it with examples.,Understand,Conceptual,Software Design
772,Write short notes on the following  a. Basic COCOMO model b. Intermediate COCOMO model c. Complete COCOMO model,Understand,Conceptual,Software Project Management
773,a.       What is egoless programming? How can it be realized?,Understand,Conceptual,Software Project Management
774,"b.       As a project manager, identify the characteristics that you would look for in a software engineer while trying to select personnel for your team.",Analyze,Factual,Software Project Management
775,C       List and explain three common types of risks that a typical software project might suffer from.,Remember,Factual,Software Project Management
776,1.       Functional independence results in a) error isolation b) scope of reuse c) understandability d) all of the above ,Remember,Factual,
,2.       The context diagram of a DFD is also known as a) level 0 DFD  b) level 1 DFD c) level 2 DFD d) none of the above,,,
,3.       Which of the following view captured by UML diagrams can be considered as black box model of a system? a) structural view b) behavioural view c) user’s view  d) implementation view,,,
,4.       The class that should be responsible for doing certain things for which it has the necessary information – is the solution proposed by a) creator pattern b) controller pattern c) expert pattern  d) façade pattern,,,
,"5.       Among development phases of software life cycle, which phase typically consumes the maximum effort? a) Requirements analysis and specification b) Design c) Coding d) Testing ",,,
777,1.       Prototyping life cycle model is the most suitable one for undertaking a software development project susceptible to schedule slippage.,Remember,Factual,
,"2.       In the object-oriented design, the basic abstraction is real-world functions.",,,
,3.       DFDs enable a software engineer to develop the data domain and functional domain decomposition of the system at the same time.,,,
,"4.       For any given problem, one should construct all the views using all the diagrams provided by UML.",,,
,"5.       The Aggregation relationship can be recursively defined, i.e. an object can contain instances of itself.",,,
778,Differentiate between the exploratory style and modern styles of software development.,Understand,Conceptual,Software Processes
779,a.       Explain the problems that might be faced by an organization if it does not follow any software life cycle model.,Understand,Conceptual,Software Processes
780,b.      Identify the necessity of using formal specification technique in the context of requirements specification.,Remember,Procedural,Requirements Engineering
781,a.       Explain the use of operational semantic. ,Understand,Conceptual,Requirements Engineering
782,b.      What does the term “balancing a DFD” mean? Give an example to explain your answer.,Understand,Conceptual,Software Design
783,c.       What is meant by design patterns?,Remember,Conceptual,Software Design
784,a.       Differentiate among different types of objects that are identified during domain analysis and also explain the relationships among those identified objects.,Understand,Conceptual,Software Design
785,b.      Discuss the types of user interfaces,Understand,Conceptual,Software Design
786,c.       Explain the architecture of the X window system.,Understand,Conceptual,Software Design
787,a.       What do you mean by coding?  Identify the necessity of coding standards.,Remember,Factual,Software Construction
788,b.      Explain unit testing.,Understand,Conceptual,Software Verification and Validation
789,c.       What is meant by a task model? Explain it with examples.,Understand,Conceptual,Software Design
790,a.       List and explain the different types of system testing.,Understand,Conceptual,Software Verification and Validation
791,b.      Explain the various types of performance tests that can be performed to check whether the system meets the non-functional requirements identified in the SRS document.,Evaluate,Procedural,Requirements Engineering
792,a.       List and explain three common types of risks that a typical software project might  suffer from.,Remember,Factual,Software Project Management
793,"b.      Explain how you can identify the risks that your project is susceptible to. Suppose you are the project manager of a large software development project, point out the main steps you would follow to manage risks in your software project.",Analyze,Procedural,Software Project Management
794,c.       Explain the necessity of software configuration management?,Understand,Conceptual,Requirements Engineering
